datum,gewest,jaar,periode,renovatie_gebouwen_maand,renovatie_gebouwen_trend
1996-01-01,Vlaams Gewest,1996,1,822.0,822.0
1996-04-01,Vlaams Gewest,1996,2,1085.0,953.5
1996-07-01,Vlaams Gewest,1996,3,1097.0,1001.3
1996-10-01,Vlaams Gewest,1996,4,1240.0,1061.0
1997-01-01,Vlaams Gewest,1997,1,697.0,1029.8
1997-04-01,Vlaams Gewest,1997,2,820.0,963.5
1997-07-01,Vlaams Gewest,1997,3,906.0,915.8
1997-10-01,Vlaams Gewest,1997,4,1168.0,897.8
1998-01-01,Vlaams Gewest,1998,1,739.0,908.2
1998-04-01,Vlaams Gewest,1998,2,1122.0,983.8
1998-07-01,Vlaams Gewest,1998,3,1516.0,1136.2
1998-10-01,Vlaams Gewest,1998,4,1278.0,1163.8
1999-01-01,Vlaams Gewest,1999,1,946.0,1215.5
1999-04-01,Vlaams Gewest,1999,2,1134.0,1218.5
1999-07-01,Vlaams Gewest,1999,3,1569.0,1231.8
1999-10-01,Vlaams Gewest,1999,4,1510.0,1289.8
2000-01-01,Vlaams Gewest,2000,1,1222.0,1358.8
2000-04-01,Vlaams Gewest,2000,2,1556.0,1464.2
2000-07-01,Vlaams Gewest,2000,3,1532.0,1455.0
2000-10-01,Vlaams Gewest,2000,4,1470.0,1445.0
2001-01-01,Vlaams Gewest,2001,1,1167.0,1431.2
2001-04-01,Vlaams Gewest,2001,2,1347.0,1379.0
2001-07-01,Vlaams Gewest,2001,3,1539.0,1380.8
2001-10-01,Vlaams Gewest,2001,4,1577.0,1407.5
2002-01-01,Vlaams Gewest,2002,1,1157.0,1405.0
2002-04-01,Vlaams Gewest,2002,2,1337.0,1402.5
2002-07-01,Vlaams Gewest,2002,3,1314.0,1346.2
2002-10-01,Vlaams Gewest,2002,4,1683.0,1372.8
2003-01-01,Vlaams Gewest,2003,1,1280.0,1403.5
2003-04-01,Vlaams Gewest,2003,2,1404.0,1420.2
2003-07-01,Vlaams Gewest,2003,3,1777.0,1536.0
2003-10-01,Vlaams Gewest,2003,4,1729.0,1547.5
2004-01-01,Vlaams Gewest,2004,1,1525.0,1608.8
2004-04-01,Vlaams Gewest,2004,2,1608.0,1659.8
2004-07-01,Vlaams Gewest,2004,3,1840.0,1675.5
2004-10-01,Vlaams Gewest,2004,4,1550.0,1630.8
2005-01-01,Vlaams Gewest,2005,1,1210.0,1552.0
2005-04-01,Vlaams Gewest,2005,2,1350.0,1487.5
2005-07-01,Vlaams Gewest,2005,3,1586.0,1424.0
2005-10-01,Vlaams Gewest,2005,4,1672.0,1454.5
2006-01-01,Vlaams Gewest,2006,1,1772.0,1595.0
2006-04-01,Vlaams Gewest,2006,2,1657.0,1671.8
2006-07-01,Vlaams Gewest,2006,3,1742.0,1710.8
2006-10-01,Vlaams Gewest,2006,4,1335.0,1626.5
2007-01-01,Vlaams Gewest,2007,1,1365.0,1524.8
2007-04-01,Vlaams Gewest,2007,2,1325.0,1441.8
2007-07-01,Vlaams Gewest,2007,3,1572.0,1399.2
2007-10-01,Vlaams Gewest,2007,4,1506.0,1442.0
2008-01-01,Vlaams Gewest,2008,1,1392.0,1448.8
2008-04-01,Vlaams Gewest,2008,2,1523.0,1498.2
2008-07-01,Vlaams Gewest,2008,3,1556.0,1494.2
2008-10-01,Vlaams Gewest,2008,4,1749.0,1555.0
2009-01-01,Vlaams Gewest,2009,1,1297.0,1531.2
2009-04-01,Vlaams Gewest,2009,2,1296.0,1474.5
2009-07-01,Vlaams Gewest,2009,3,1661.0,1500.8
2009-10-01,Vlaams Gewest,2009,4,1458.0,1428.0
2010-01-01,Vlaams Gewest,2010,1,1512.0,1481.8
2010-04-01,Vlaams Gewest,2010,2,1471.0,1525.5
2010-07-01,Vlaams Gewest,2010,3,1777.0,1554.5
2010-10-01,Vlaams Gewest,2010,4,1506.0,1566.5
2011-01-01,Vlaams Gewest,2011,1,1375.0,1532.2
2011-04-01,Vlaams Gewest,2011,2,1330.0,1497.0
2011-07-01,Vlaams Gewest,2011,3,1509.0,1430.0
