refnis_code,gemeente_naam_nl,gemeente_naam_fr,jaar,periode,nieuwbouw_gebouwen_wonen,nieuwbouw_woningen_totaal,nieuwbouw_appartementen,nieuwbouw_eengezinswoningen,nieuwbouw_oppervlakte_wonen_m2,renovatie_gebouwen_wonen,nieuwbouw_gebouwen_bedrijven,nieuwbouw_volume_bedrijven_m3,renovatie_gebouwen_bedrijven,code_land,code_gewest,code_provincie,code_arrondissement,code_gemeente,geografisch_niveau
1000,BELGIE,BELGIQUE,1996,0,33774,48524,16893,31631,9533421,21971,7238,41228502,5610,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,1,2311,3222,1042,2180,660293,1353,556,2708000,395,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,2,2670,3454,933,2521,699749,1655,568,2376092,451,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,3,3002,4525,1723,2802,872115,1718,593,3140154,447,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,4,3237,4186,1110,3076,900475,1990,696,4301553,487,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,5,3093,4753,1883,2870,931880,1909,624,2601746,432,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,6,3310,5022,1918,3104,951900,2199,681,4290796,531,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,7,3880,4939,1265,3674,940893,2240,653,4532655,548,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,8,2388,3542,1311,2231,707022,1951,600,3127910,451,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,9,2703,4062,1542,2520,788880,2091,633,4130339,513,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,10,2621,3735,1307,2428,744064,1935,624,4405454,529,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,11,2098,3335,1385,1950,613884,1426,530,2238275,377,1000,,,,,1
1000,BELGIE,BELGIQUE,1996,12,2461,3749,1474,2275,722266,1504,480,3375528,449,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,0,34457,49927,17801,32126,9836147,21627,6737,39752035,5334,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,1,2179,3009,961,2048,579221,1221,476,2204241,365,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,2,2215,3153,1115,2038,648218,1412,504,2278560,400,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,3,2448,3818,1534,2284,730306,1558,548,3437767,406,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,4,2912,4048,1296,2752,833102,1910,548,2710655,401,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,5,2458,3350,1045,2305,696432,1674,465,2758012,446,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,6,3384,4404,1218,3186,926841,2250,658,3743281,523,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,7,3086,4191,1318,2873,859151,2202,642,3877399,503,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,8,2409,3458,1193,2265,664440,1818,536,4398332,409,1000,,,,,1
1000,BELGIE,BELGIQUE,1997,9,2955,4788,2046,2742,904225,2078,638,4882278,493,1000,,,,,1
