datum,gewest,jaar,periode,nieuwbouw_woningen_maand,nieuwbouw_woningen_trend
1996-01-01,Vlaams Gewest,1996,1,2324.0,2324.0
1996-02-01,Vlaams Gewest,1996,2,2560.0,2442.0
1996-03-01,Vlaams Gewest,1996,3,3448.0,2777.3
1996-04-01,Vlaams Gewest,1996,4,3029.0,2840.2
1996-05-01,Vlaams Gewest,1996,5,3252.0,3072.2
1996-06-01,Vlaams Gewest,1996,6,3408.0,3284.2
1996-07-01,Vlaams Gewest,1996,7,3620.0,3327.2
1996-08-01,Vlaams Gewest,1996,8,2215.0,3123.8
1996-09-01,Vlaams Gewest,1996,9,2860.0,3025.8
1996-10-01,Vlaams Gewest,1996,10,2559.0,2813.5
1996-11-01,Vlaams Gewest,1996,11,2163.0,2449.2
1996-12-01,Vlaams Gewest,1996,12,2634.0,2554.0
1997-01-01,Vlaams Gewest,1997,1,2132.0,2372.0
1997-02-01,Vlaams Gewest,1997,2,2006.0,2233.8
1997-03-01,Vlaams Gewest,1997,3,2323.0,2273.8
1997-04-01,Vlaams Gewest,1997,4,2649.0,2277.5
1997-05-01,Vlaams Gewest,1997,5,2320.0,2324.5
1997-06-01,Vlaams Gewest,1997,6,2967.0,2564.8
1997-07-01,Vlaams Gewest,1997,7,2672.0,2652.0
1997-08-01,Vlaams Gewest,1997,8,2081.0,2510.0
1997-09-01,Vlaams Gewest,1997,9,3167.0,2721.8
1997-10-01,Vlaams Gewest,1997,10,2758.0,2669.5
1997-11-01,Vlaams Gewest,1997,11,2659.0,2666.2
1997-12-01,Vlaams Gewest,1997,12,5294.0,3469.5
1998-01-01,Vlaams Gewest,1998,1,1145.0,2964.0
1998-02-01,Vlaams Gewest,1998,2,1586.0,2671.0
1998-03-01,Vlaams Gewest,1998,3,2614.0,2659.8
1998-04-01,Vlaams Gewest,1998,4,2239.0,1896.0
1998-05-01,Vlaams Gewest,1998,5,1912.0,2087.8
1998-06-01,Vlaams Gewest,1998,6,2907.0,2418.0
1998-07-01,Vlaams Gewest,1998,7,2496.0,2388.5
1998-08-01,Vlaams Gewest,1998,8,2345.0,2415.0
1998-09-01,Vlaams Gewest,1998,9,2280.0,2507.0
1998-10-01,Vlaams Gewest,1998,10,2018.0,2284.8
1998-11-01,Vlaams Gewest,1998,11,1920.0,2140.8
1998-12-01,Vlaams Gewest,1998,12,2196.0,2103.5
1999-01-01,Vlaams Gewest,1999,1,2044.0,2044.5
1999-02-01,Vlaams Gewest,1999,2,2242.0,2100.5
1999-03-01,Vlaams Gewest,1999,3,3106.0,2397.0
1999-04-01,Vlaams Gewest,1999,4,2148.0,2385.0
1999-05-01,Vlaams Gewest,1999,5,2240.0,2434.0
1999-06-01,Vlaams Gewest,1999,6,2747.0,2560.2
1999-07-01,Vlaams Gewest,1999,7,2397.0,2383.0
1999-08-01,Vlaams Gewest,1999,8,2591.0,2493.8
1999-09-01,Vlaams Gewest,1999,9,2531.0,2566.5
1999-10-01,Vlaams Gewest,1999,10,2510.0,2507.2
1999-11-01,Vlaams Gewest,1999,11,2057.0,2422.2
1999-12-01,Vlaams Gewest,1999,12,3092.0,2547.5
2000-01-01,Vlaams Gewest,2000,1,2092.0,2437.8
2000-02-01,Vlaams Gewest,2000,2,2617.0,2464.5
2000-03-01,Vlaams Gewest,2000,3,2794.0,2648.8
2000-04-01,Vlaams Gewest,2000,4,2455.0,2489.5
2000-05-01,Vlaams Gewest,2000,5,2319.0,2546.2
2000-06-01,Vlaams Gewest,2000,6,2383.0,2487.8
2000-07-01,Vlaams Gewest,2000,7,2513.0,2417.5
2000-08-01,Vlaams Gewest,2000,8,2553.0,2442.0
2000-09-01,Vlaams Gewest,2000,9,2341.0,2447.5
2000-10-01,Vlaams Gewest,2000,10,2540.0,2486.8
2000-11-01,Vlaams Gewest,2000,11,2370.0,2451.0
2000-12-01,Vlaams Gewest,2000,12,2122.0,2343.2
2001-01-01,Vlaams Gewest,2001,1,2301.0,2333.2
2001-02-01,Vlaams Gewest,2001,2,2512.0,2326.2
2001-03-01,Vlaams Gewest,2001,3,3145.0,2520.0
2001-04-01,Vlaams Gewest,2001,4,2741.0,2674.8
2001-05-01,Vlaams Gewest,2001,5,2548.0,2736.5
2001-06-01,Vlaams Gewest,2001,6,1987.0,2605.2
2001-07-01,Vlaams Gewest,2001,7,2281.0,2389.2
2001-08-01,Vlaams Gewest,2001,8,2016.0,2208.0
2001-09-01,Vlaams Gewest,2001,9,2434.0,2179.5
2001-10-01,Vlaams Gewest,2001,10,2637.0,2342.0
2001-11-01,Vlaams Gewest,2001,11,1831.0,2229.5
2001-12-01,Vlaams Gewest,2001,12,1851.0,2188.2
2002-01-01,Vlaams Gewest,2002,1,1839.0,2039.5
2002-02-01,Vlaams Gewest,2002,2,2609.0,2032.5
2002-03-01,Vlaams Gewest,2002,3,2417.0,2179.0
2002-04-01,Vlaams Gewest,2002,4,2394.0,2314.8
2002-05-01,Vlaams Gewest,2002,5,2372.0,2448.0
2002-06-01,Vlaams Gewest,2002,6,2717.0,2475.0
2002-07-01,Vlaams Gewest,2002,7,2998.0,2620.2
2002-08-01,Vlaams Gewest,2002,8,2538.0,2656.2
2002-09-01,Vlaams Gewest,2002,9,3007.0,2815.0
2002-10-01,Vlaams Gewest,2002,10,2475.0,2754.5
2002-11-01,Vlaams Gewest,2002,11,2175.0,2548.8
2002-12-01,Vlaams Gewest,2002,12,2465.0,2530.5
2003-01-01,Vlaams Gewest,2003,1,2279.0,2348.5
2003-02-01,Vlaams Gewest,2003,2,2323.0,2310.5
2003-03-01,Vlaams Gewest,2003,3,2746.0,2453.2
2003-04-01,Vlaams Gewest,2003,4,2601.0,2487.2
2003-05-01,Vlaams Gewest,2003,5,2486.0,2539.0
2003-06-01,Vlaams Gewest,2003,6,2718.0,2637.8
2003-07-01,Vlaams Gewest,2003,7,2646.0,2612.8
2003-08-01,Vlaams Gewest,2003,8,2551.0,2600.2
2003-09-01,Vlaams Gewest,2003,9,2712.0,2656.8
2003-10-01,Vlaams Gewest,2003,10,2606.0,2628.8
2003-11-01,Vlaams Gewest,2003,11,2365.0,2558.5
2003-12-01,Vlaams Gewest,2003,12,3533.0,2804.0
2004-01-01,Vlaams Gewest,2004,1,3509.0,3003.2
2004-02-01,Vlaams Gewest,2004,2,2912.0,3079.8
2004-03-01,Vlaams Gewest,2004,3,3599.0,3388.2
2004-04-01,Vlaams Gewest,2004,4,2719.0,3184.8
2004-05-01,Vlaams Gewest,2004,5,2869.0,3024.8
2004-06-01,Vlaams Gewest,2004,6,4085.0,3318.0
2004-07-01,Vlaams Gewest,2004,7,2686.0,3089.8
2004-08-01,Vlaams Gewest,2004,8,2545.0,3046.2
2004-09-01,Vlaams Gewest,2004,9,3071.0,3096.8
2004-10-01,Vlaams Gewest,2004,10,3388.0,2922.5
2004-11-01,Vlaams Gewest,2004,11,2652.0,2914.0
2004-12-01,Vlaams Gewest,2004,12,3190.0,3075.2
2005-01-01,Vlaams Gewest,2005,1,2885.0,3028.8
2005-02-01,Vlaams Gewest,2005,2,3295.0,3005.5
2005-03-01,Vlaams Gewest,2005,3,3818.0,3297.0
2005-04-01,Vlaams Gewest,2005,4,3226.0,3306.0
2005-05-01,Vlaams Gewest,2005,5,3953.0,3573.0
2005-06-01,Vlaams Gewest,2005,6,3810.0,3701.8
