datum,gewest,jaar,periode,renovatie_gebouwen_maand,renovatie_gebouwen_trend
1996-01-01,Vlaams Gewest,1996,1,822.0,822.0
1996-02-01,Vlaams Gewest,1996,2,1085.0,953.5
1996-03-01,Vlaams Gewest,1996,3,1097.0,1001.3
1996-04-01,Vlaams Gewest,1996,4,1240.0,1061.0
1996-05-01,Vlaams Gewest,1996,5,1177.0,1149.8
1996-06-01,Vlaams Gewest,1996,6,1335.0,1212.2
1996-07-01,Vlaams Gewest,1996,7,1264.0,1254.0
1996-08-01,Vlaams Gewest,1996,8,1059.0,1208.8
1996-09-01,Vlaams Gewest,1996,9,1266.0,1231.0
1996-10-01,Vlaams Gewest,1996,10,1168.0,1189.2
1996-11-01,Vlaams Gewest,1996,11,779.0,1068.0
1996-12-01,Vlaams Gewest,1996,12,851.0,1016.0
1997-01-01,Vlaams Gewest,1997,1,697.0,873.8
1997-02-01,Vlaams Gewest,1997,2,820.0,786.8
1997-03-01,Vlaams Gewest,1997,3,906.0,818.5
1997-04-01,Vlaams Gewest,1997,4,1168.0,897.8
1997-05-01,Vlaams Gewest,1997,5,1018.0,978.0
1997-06-01,Vlaams Gewest,1997,6,1373.0,1116.2
1997-07-01,Vlaams Gewest,1997,7,1295.0,1213.5
1997-08-01,Vlaams Gewest,1997,8,966.0,1163.0
1997-09-01,Vlaams Gewest,1997,9,1188.0,1205.5
1997-10-01,Vlaams Gewest,1997,10,1191.0,1160.0
1997-11-01,Vlaams Gewest,1997,11,1003.0,1087.0
1997-12-01,Vlaams Gewest,1997,12,1115.0,1124.2
1998-01-01,Vlaams Gewest,1998,1,739.0,1012.0
1998-02-01,Vlaams Gewest,1998,2,1122.0,994.8
1998-03-01,Vlaams Gewest,1998,3,1516.0,1123.0
1998-04-01,Vlaams Gewest,1998,4,1278.0,1163.8
1998-05-01,Vlaams Gewest,1998,5,1261.0,1294.2
1998-06-01,Vlaams Gewest,1998,6,1559.0,1403.5
1998-07-01,Vlaams Gewest,1998,7,1349.0,1361.8
1998-08-01,Vlaams Gewest,1998,8,1181.0,1337.5
1998-09-01,Vlaams Gewest,1998,9,1265.0,1338.5
1998-10-01,Vlaams Gewest,1998,10,1115.0,1227.5
1998-11-01,Vlaams Gewest,1998,11,1135.0,1174.0
1998-12-01,Vlaams Gewest,1998,12,1132.0,1161.8
1999-01-01,Vlaams Gewest,1999,1,946.0,1082.0
1999-02-01,Vlaams Gewest,1999,2,1134.0,1086.8
1999-03-01,Vlaams Gewest,1999,3,1569.0,1195.2
1999-04-01,Vlaams Gewest,1999,4,1510.0,1289.8
1999-05-01,Vlaams Gewest,1999,5,1500.0,1428.2
1999-06-01,Vlaams Gewest,1999,6,1676.0,1563.8
1999-07-01,Vlaams Gewest,1999,7,1333.0,1504.8
1999-08-01,Vlaams Gewest,1999,8,1350.0,1464.8
1999-09-01,Vlaams Gewest,1999,9,1338.0,1424.2
1999-10-01,Vlaams Gewest,1999,10,1317.0,1334.5
1999-11-01,Vlaams Gewest,1999,11,1140.0,1286.2
1999-12-01,Vlaams Gewest,1999,12,1337.0,1283.0
2000-01-01,Vlaams Gewest,2000,1,1222.0,1254.0
2000-02-01,Vlaams Gewest,2000,2,1556.0,1313.8
2000-03-01,Vlaams Gewest,2000,3,1532.0,1411.8
2000-04-01,Vlaams Gewest,2000,4,1470.0,1445.0
2000-05-01,Vlaams Gewest,2000,5,1657.0,1553.8
2000-06-01,Vlaams Gewest,2000,6,1594.0,1563.2
2000-07-01,Vlaams Gewest,2000,7,1305.0,1506.5
2000-08-01,Vlaams Gewest,2000,8,1373.0,1482.2
2000-09-01,Vlaams Gewest,2000,9,1204.0,1369.0
2000-10-01,Vlaams Gewest,2000,10,1435.0,1329.2
2000-11-01,Vlaams Gewest,2000,11,1121.0,1283.2
2000-12-01,Vlaams Gewest,2000,12,1220.0,1245.0
2001-01-01,Vlaams Gewest,2001,1,1167.0,1235.8
2001-02-01,Vlaams Gewest,2001,2,1347.0,1213.8
2001-03-01,Vlaams Gewest,2001,3,1539.0,1318.2
2001-04-01,Vlaams Gewest,2001,4,1577.0,1407.5
2001-05-01,Vlaams Gewest,2001,5,1637.0,1525.0
2001-06-01,Vlaams Gewest,2001,6,1473.0,1556.5
2001-07-01,Vlaams Gewest,2001,7,1478.0,1541.2
2001-08-01,Vlaams Gewest,2001,8,1312.0,1475.0
2001-09-01,Vlaams Gewest,2001,9,1262.0,1381.2
2001-10-01,Vlaams Gewest,2001,10,1544.0,1399.0
2001-11-01,Vlaams Gewest,2001,11,1088.0,1301.5
2001-12-01,Vlaams Gewest,2001,12,981.0,1218.8
2002-01-01,Vlaams Gewest,2002,1,1157.0,1192.5
